"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_symbol"
"AT1G08830",4600.30562492202,3.23244836307495,0.104340005590558,30.9799519827462,1.00399419028439e-210,5.17182507270245e-207,"CSD1"
"AT2G28190",1735.07386207064,2.66653043171262,0.0878204420086806,30.3634366979051,1.67018180927304e-202,6.88281923601419e-199,"CSD2"
"AT3G62760",211.460774888007,2.13350641973718,0.225266582337693,9.47102938037601,2.77099336711555e-21,4.92209640770827e-19,"ATGSTF13"
"AT5G25090",252.518435917112,2.03943484844046,0.437736908550026,4.65904247187186,3.1768365776835e-06,7.9633476500205e-05,"ENODL13"
"AT3G16150",167.980551861756,1.99693291254648,0.201608870608801,9.90498536357215,3.96028038904309e-23,7.41832521965753e-21,""
"AT1G12520",556.424207690366,1.62688202852886,0.125712359460904,12.9413053378798,2.63120457071484e-38,7.97293679111461e-36,"ATCCS"
"AT3G20360",77.572285788262,1.62471306295115,0.356890552704296,4.55241263922535,5.30341856836039e-06,0.000123337403612941,""
"AT4G20320",517.589056210174,1.5727423996787,0.117272130302227,13.411049970914,5.20959988808153e-41,1.70386993164952e-38,""
"AT2G26330",52.2544413609148,1.54735479619594,0.370093746151304,4.18098066310837,2.90254549912238e-05,0.00053209030257488,"ER"
"AT5G48480",412.50830414307,1.47413224320004,0.129097756787942,11.4187285656828,3.37129809879478e-30,8.3693490753815e-28,""
"AT3G15680",206.756707374551,1.43623460250601,0.172355524404223,8.33297689453589,7.88345518360191e-17,1.06867496090867e-14,""
"AT2G22330",65.7224898882552,1.41709409357693,0.272590850092983,5.19861210709587,2.00782017254507e-07,7.0962495120568e-06,"CYP79B3"
"AT4G10640",146.729847945544,1.29936913356223,0.202916913533897,6.40345405877256,1.51900577359718e-10,1.09821452508666e-08,"IQD16"
"AT2G44790",6869.09673768685,1.29787349717444,0.0891001161538909,14.5664624604169,4.59054315872449e-48,1.81900272664458e-45,"UCC2"
"AT2G47450",71.1878924873677,1.29752717122696,0.348405233700404,3.72418966685992,0.000195943577672339,0.00267555826238472,"CAO"
"AT3G50870",100.124912422333,1.25936344084239,0.22873489388936,5.5057775376045,3.67542422101649e-08,1.60449398461959e-06,"MNP"
"AT3G01710",128.382630669229,1.25758300212284,0.227870168870856,5.51885755100997,3.41210636619159e-08,1.49588195053995e-06,""
"AT2G14880",119.55876956823,1.23054013094901,0.220474788220575,5.58131902917584,2.38701338603903e-08,1.09542117637715e-06,""
"AT2G03505",352.139086515461,1.20809434293865,0.189448961579049,6.37688553618471,1.80725428570619e-10,1.28852853138326e-08,""
"AT5G62330",372.474772153337,1.1506536573356,0.15003447416526,7.66926177291879,1.72989069834924e-14,1.93719553475467e-12,""
"AT3G15720",199.388456155224,1.14912909410642,0.202495703256222,5.6748319871874,1.3882483996385e-08,6.79064474558261e-07,""
"AT1G04425",145.531220385918,1.14272591675389,0.203378510229559,5.61871515070137,1.92382724373874e-08,9.07104356000842e-07,""
"AT1G68825",139.131498187971,1.13720837004162,0.202498324832021,5.61589025975879,1.95552749061953e-08,9.19946208772039e-07,"DVL5"
"AT2G21050",551.569402034222,1.1312050886901,0.120109862819774,9.41808659283452,4.59382761861179e-21,7.95427042701647e-19,"LAX2"
"AT5G48130",58.5211031732069,1.10077731184416,0.306616861093017,3.59007429637153,0.00033058372163231,0.00408129274070327,""
"AT5G15725",87.2483381781864,1.09247296777691,0.250470718428037,4.36167937966286,1.29067914787124e-05,0.000264621331760068,""
"AT3G27850",185.297755084215,1.07311885831483,0.177199603585391,6.05598904626052,1.39557498937761e-09,8.43279256777879e-08,"RPL12-C"
"AT5G48360",594.290611701558,1.07049271639092,0.144921018288319,7.38673195258113,1.50481527568008e-13,1.55812657062251e-11,""
"AT2G46850",187.7516563966,1.0568350944826,0.196374745140983,5.38172611617583,7.37749554546845e-08,2.94599410299181e-06,""
"AT3G23550",72.152737343162,1.04135572917874,0.280186203070377,3.71665598722282,0.000201877021994574,0.00274204089531852,""
"AT2G37450",197.2697226751,1.03896386307002,0.190459200492008,5.45504685720666,4.89599331358353e-08,2.06725291447518e-06,""
"AT5G51910",111.990305819218,1.02170061911764,0.221547578724272,4.61165328459404,3.99478912544572e-06,9.76425028823358e-05,""
"AT4G13710",164.756520791752,1.01730063186072,0.210033309980383,4.84352044899797,1.27558586413614e-06,3.6203094670145e-05,""
"AT5G47240",59.5624770128922,1.01222971397124,0.332717218475304,3.04231238350044,0.00234768117587315,0.0198138954098018,"atnudt8"
"AT3G52910",353.324656674969,1.01171534927172,0.168015189395872,6.0215707455351,1.72732492722755e-09,1.01981461677718e-07,"AtGRF4"
"AT5G21080",120.664207682594,-1.00277574891001,0.216130279600595,-4.63968191205378,3.48945857017848e-06,8.66848209327929e-05,""
"AT2G01340",50.1968772982419,-1.01670259531533,0.326459014411302,-3.11433457320434,0.00184360305530752,0.0163386842815533,"At17.1"
"AT1G76780",53.0171619107374,-1.01689731511721,0.304317057896797,-3.34157185320209,0.000833054514834706,0.00864304545728556,""
"AT4G17670",78.3023287887151,-1.02113927695217,0.260603499215529,-3.91836364448678,8.91521387265475e-05,0.00138466220723448,""
"AT1G66180",140.554805427091,-1.02202456399513,0.267076558516307,-3.82671010017798,0.000129867308686673,0.00189512457187599,""
"AT5G07770",323.991744137722,-1.02803959925322,0.153764331980908,-6.68581319223538,2.29645818221223e-11,1.8269699167754e-09,""
"AT3G53950",62.4481518514596,-1.03561603783382,0.300884285743307,-3.44190802545712,0.000577626610181934,0.00647551485462391,""
"AT5G12010",389.382415365809,-1.03738572388436,0.156190752640742,-6.64178708627181,3.09902418042447e-11,2.40963748066589e-09,""
"AT5G57340",348.475356942039,-1.03959665944635,0.157520767170119,-6.5997435012719,4.11869747652082e-11,3.14317635198931e-09,""
"AT2G16700",71.0734548816752,-1.04246739450049,0.287103217293545,-3.63098471806616,0.000282341904160948,0.0035845070457402,"ADF5"
"AT4G15390",402.31626988166,-1.04325982689618,0.15185178242452,-6.87025078164457,6.40891364405427e-12,5.39002716880564e-10,""
"AT5G05090",78.7327737552105,-1.04344273964136,0.291738475187066,-3.57663739406431,0.000348042424699561,0.00426108981636034,""
"AT1G76180",4370.71593918218,-1.04934485496025,0.0993172159459082,-10.5655887044977,4.30260477502502e-26,9.13970839065881e-24,"ERD14"
"AT2G37150",154.165978540519,-1.0493857896316,0.1985316439535,-5.28573565772412,1.25200579948311e-07,4.66502341742304e-06,""
"AT2G23320",410.394936756504,-1.05221646980642,0.131250505870456,-8.01685649002338,1.0848574728e-15,1.29962140854907e-13,"WRKY15"
"AT5G53370",65.5207371386644,-1.05300416699547,0.329101657056943,-3.19963192045939,0.00137603197798541,0.0129584729919512,"ATPMEPCRF"
"AT1G70140",74.5485914644368,-1.0551619492594,0.325323173275602,-3.24342695491139,0.00118101088881624,0.0114786459264427,"ATFH8"
"AT3G62680",657.012767376618,-1.05533957083375,0.171274603016052,-6.16168160515218,7.19764615499942e-10,4.53539752366248e-08,"PRP3"
"AT1G79640",177.512046330157,-1.05684359350468,0.197605991820104,-5.34823657810339,8.88153235844263e-08,3.45943240540095e-06,""
"AT4G31000",336.23693070322,-1.06092386254543,0.130486179673095,-8.13054581874754,4.27361729385427e-16,5.21052570058386e-14,""
"AT3G13650",161.058860093467,-1.06653267191519,0.233797894032857,-4.56177193694187,5.0723726325105e-06,0.000118499136159727,""
"AT5G41550",113.413112902201,-1.06682489461902,0.223221931553078,-4.77921182384067,1.75983711550883e-06,4.77752882280099e-05,""
"AT5G49480",5568.7171996451,-1.06695407640644,0.0753131325708217,-14.1669060890956,1.46828218504639e-45,5.40249186122871e-43,"ATCP1"
"AT5G48020",1396.30581516346,-1.06957414938104,0.0959143039766304,-11.1513518321693,7.05266616439772e-29,1.61466873686017e-26,""
"AT3G18770",51.3745709936877,-1.0697630539965,0.312702383882091,-3.42102621897462,0.000623853176114861,0.00687773926904586,""
"AT1G80340",73.1398120052984,-1.06976752856403,0.258656529731556,-4.13586128938743,3.53625762069218e-05,0.000628143002365193,"GA4H"
"AT2G40340",121.085375293121,-1.06997023425775,0.241262978856364,-4.43487119047287,9.21273562186242e-06,0.000198565290259911,"DREB2C"
"AT1G71110",410.841441043512,-1.07054350024543,0.144821799902553,-7.39214331658472,1.44480671871866e-13,1.50354759793929e-11,""
"AT4G40090",565.308548387898,-1.07145132225822,0.147921245502734,-7.24339035016045,4.37605058061311e-13,4.29373915302539e-11,"AGP3"
"AT4G38860",71.4150772045784,-1.0729739567063,0.304385243192187,-3.52505248103906,0.000423398901073006,0.00504576885865198,""
"AT5G49990",128.104568232054,-1.07531273870527,0.209138629413141,-5.14162659343558,2.72370034084482e-07,9.35364092051793e-06,""
"AT3G49780",116.457681149329,-1.0777206053226,0.22414160216881,-4.80821317816283,1.52285324339938e-06,4.24606103927526e-05,"ATPSK4"
"AT1G05250",1317.50862773577,-1.07931708958458,0.143092279160386,-7.54280451690073,4.59970403870054e-14,4.98825798512761e-12,""
"AT1G14370",100.252405957588,-1.08027210543351,0.235123028655014,-4.5944972366724,4.33793876055909e-06,0.000104509255163876,"APK2A"
"AT4G34580",206.985246778989,-1.08061527741617,0.200331931357019,-5.39412399259689,6.88586578940674e-08,2.78202479589658e-06,"COW1"
"AT1G55290",56.0536216636543,-1.08278705806615,0.312043723538521,-3.4699850578231,0.000520487319415669,0.00591215061552362,""
"AT3G60330",277.446561184454,-1.09072523263191,0.172241497429138,-6.33253454546074,2.41166266800588e-10,1.64544070444574e-08,"HA7"
"AT2G39650",165.116374094292,-1.09330778293412,0.205434750453545,-5.32192231606577,1.0267642044754e-07,3.92513477425149e-06,""
"AT1G50970",128.989134956122,-1.09514554236993,0.200356525658575,-5.46598389431128,4.60346137302906e-08,1.95575920806729e-06,""
"AT3G19200",129.459566022178,-1.09822540990462,0.240248951014632,-4.57119752351274,4.84944899836921e-06,0.000114590477765364,""
"AT5G02890",129.972245562984,-1.10300264801601,0.224844239215716,-4.90563001241845,9.31279285602253e-07,2.75704162066587e-05,""
"AT2G14960",88.5645064187028,-1.10301217854944,0.363661634571665,-3.03307270740455,0.00242077267163158,0.020301188807069,"GH3.1"
"AT5G67360",4194.70494252628,-1.10374674446589,0.0797288302408491,-13.8437594171598,1.38755640763789e-43,4.92941375506529e-41,"ARA12"
"AT1G22180",61.0324151976308,-1.10859741967493,0.305730076681677,-3.62606594584147,0.000287771893117786,0.00364446211290227,""
"AT5G59030",269.399275328414,-1.11019475424441,0.156250939084735,-7.10520372387873,1.20145180955158e-12,1.13559240989956e-10,"COPT1"
"AT2G21790",2469.10906652853,-1.11227492892279,0.0784880043173141,-14.17127290466,1.37976630229085e-45,5.16910630158236e-43,"R1"
"AT2G26870",57.6652613811199,-1.11391392577202,0.316473225254533,-3.51977303886016,0.000431916221544992,0.00511767322882954,"NPC2"
"AT2G38210",52.0424199873244,-1.11542820750967,0.386026068291558,-2.88951524037286,0.00385836303723003,0.0293688845150073,"PDX1L4"
"AT1G65481",53.1342575145752,-1.11953703348002,0.335604977531152,-3.335877321355,0.000850306773827686,0.0087998850199495,""
"AT1G24150",132.662111668963,-1.12227322120234,0.202060101969899,-5.55415547285791,2.7895711849577e-08,1.25500249489199e-06,"ATFH4"
"AT5G62070",327.856378360468,-1.13112097567066,0.153651456317493,-7.36160269990155,1.81715130466172e-13,1.87212013162773e-11,"IQD23"
"AT1G14780",110.865436357495,-1.133375078338,0.218146598017458,-5.19547445909426,2.04198371274269e-07,7.18094779902184e-06,""
"AT5G43330",530.858953080017,-1.14729882875235,0.136781155313592,-8.38784279985057,4.95143693598422e-17,6.80162387106366e-15,""
"AT2G37650",82.9903867396799,-1.14914808825739,0.274868945355735,-4.18071269117057,2.90596851390821e-05,0.00053224427759181,""
"AT5G01840",87.7519099252763,-1.15139006963741,0.235200840808174,-4.89534844212766,9.81316961570106e-07,2.86809021179461e-05,"ATOFP1"
"AT3G26770",69.2026327562776,-1.15830406160813,0.297002600871387,-3.89997952277097,9.62008241872518e-05,0.00147267309240589,""
"AT3G13380",166.466665118877,-1.16158027410005,0.196798802088338,-5.90237471861567,3.58306190553029e-09,1.98465028396375e-07,"BRL3"
"AT5G17980",180.116337463167,-1.16566731298028,0.173090399566545,-6.7344423255094,1.64559860006381e-11,1.32451402946542e-09,""
"AT5G46050",102.084726889419,-1.16686782621019,0.230300022334511,-5.06672910571982,4.0470958190912e-07,1.33211516537339e-05,"ATPTR3"
"AT5G18310",763.02063746472,-1.16804178539627,0.124482309605832,-9.38319500252545,6.4003258472893e-21,1.08990672796195e-18,""
"AT1G58410",119.782901143894,-1.17282477588314,0.222885194806259,-5.26201292509629,1.42486747275761e-07,5.25212777749025e-06,""
"AT4G37180",367.07844435245,-1.17433695880663,0.139629214662753,-8.41039578746476,4.08629486780864e-17,5.6890611994052e-15,""
"AT1G64620",115.899032854529,-1.17631191140499,0.206571266694698,-5.69446046503418,1.23762658661516e-08,6.13011918682821e-07,""
"AT4G22070",94.998182901066,-1.17893742047925,0.24425295623842,-4.8267068642087,1.38809201836586e-06,3.90732732765418e-05,"WRKY31"
"AT1G49980",371.610566298324,-1.18173967726418,0.141333311510158,-8.36136693209262,6.19956965213691e-17,8.45974388624377e-15,""
"AT5G46780",141.527349549742,-1.18297896418349,0.19998675706516,-5.91528649968584,3.31298395416621e-09,1.84997383131693e-07,""
"AT4G37490",691.721810475912,-1.18333229555352,0.112321306978528,-10.5352432889668,5.9429407669969e-26,1.24953361738746e-23,"CYC1"
"AT5G64260",339.355349003953,-1.18334700694794,0.143077752401878,-8.27065694758854,1.33222871163939e-16,1.73737801286896e-14,"EXL2"
"AT2G32190",74.431433844994,-1.18434716974407,0.279220507600733,-4.24161957128741,2.21912610752007e-05,0.000423380494865288,""
"AT1G70520",55.5278506339834,-1.18456621477745,0.294674640753782,-4.01991230649274,5.82198083738448e-05,0.000961233294505667,"CRK2"
"AT5G18470",90.1307146788706,-1.18573905795012,0.24672598434715,-4.80589452743557,1.54061106760551e-06,4.28397989851708e-05,""
"AT3G10500",731.187017237125,-1.18666828082223,0.113555471426265,-10.4501198041591,1.46340251288202e-25,3.04579886645798e-23,"anac053"
"AT2G38230",463.187196392795,-1.19138339914658,0.444322909974261,-2.68134586896633,0.00733266847578558,0.0480394134133,"ATPDX1.1"
"AT3G03470",80.2813905276672,-1.19677041564318,0.249403860630541,-4.79852401890457,1.59839142571909e-06,4.40894984296411e-05,"CYP89A9"
"AT3G42860",200.164127128413,-1.2044265596773,0.165230272930595,-7.28938189300951,3.11380264051107e-13,3.08461074075628e-11,""
"AT5G22580",120.09097700447,-1.20446259664502,0.225713502282626,-5.33624521556913,9.48910520860336e-08,3.66147964088525e-06,""
"AT4G13390",89.5037113874995,-1.205527036475,0.276921068147795,-4.35332365478093,1.34088962044782e-05,0.000273554758706211,""
"AT2G25790",247.317393062764,-1.2092367734039,0.156576219715092,-7.7229912409703,1.1363098521626e-14,1.27943521878745e-12,""
"AT3G25250",1292.29905161449,-1.2126362677229,0.0879359740694107,-13.7899907353699,2.92797531635991e-43,1.02255815921349e-40,"AGC2-1"
"AT4G36620",226.765032785318,-1.21353146836077,0.153460727260144,-7.90776565462003,2.62049509045224e-15,3.05058199654059e-13,"GATA19"
"AT2G29330",269.987427943317,-1.21648258691268,0.173048078332083,-7.02973762342635,2.06922273240398e-12,1.87825261679225e-10,"TRI"
"AT5G01370",92.4245233144526,-1.22479681784368,0.235129939162922,-5.20902111489516,1.89839511198612e-07,6.79104709765175e-06,"ACI1"
"AT1G30990",130.068811332251,-1.22660662869875,0.204328510262242,-6.00311051612174,1.9357276193244e-09,1.13959050274798e-07,""
"AT2G46860",109.794617957201,-1.22886399180087,0.22225251791608,-5.52913417280103,3.2181514565577e-08,1.41991457735271e-06,"AtPPa3"
"AT3G49960",350.632982251254,-1.23154416310044,0.193093855512507,-6.37795625257829,1.7946675845669e-10,1.28399741597226e-08,""
"AT4G37320",58.2516780126853,-1.23382197548392,0.303452399447499,-4.06594898485022,4.78374002852579e-05,0.000819359628327297,"CYP81D5"
"AT5G49300",129.899952785308,-1.24348998940958,0.213925679932936,-5.81271958466791,6.14659767641717e-09,3.24745243904041e-07,"GATA16"
"AT4G24960",238.195998110401,-1.24641164029424,0.177294934114508,-7.03015935858171,2.06297783651001e-12,1.87825261679225e-10,"HVA22D"
"AT3G02535",140.555903728371,-1.24890032169738,0.200235518988089,-6.23715676423854,4.4559539791054e-10,2.86921661685833e-08,""
"AT2G15580",133.346266867094,-1.24968101216157,0.211068476063369,-5.9207373619658,3.20501347917734e-09,1.79454627006655e-07,""
"AT5G57625",274.311968344957,-1.25673503933831,0.396324515024922,-3.17097477368839,0.00151928336142188,0.0140589373036948,""
"AT4G31800",91.8220848077804,-1.25936655946885,0.245184420003646,-5.13640532073825,2.80043333912617e-07,9.56930828402897e-06,"WRKY18"
"AT3G02400",192.018918172336,-1.26701660269376,0.182284251033709,-6.9507738354174,3.63287884795465e-12,3.1718418924621e-10,""
"AT5G04960",332.604298093992,-1.27849876313221,0.200549207603488,-6.37498785664598,1.82977449266361e-10,1.29318344259133e-08,""
"AT1G44830",142.725580989688,-1.27907738590922,0.245882818203849,-5.20197952525824,1.97176953163146e-07,6.99282464703378e-06,""
"AT3G47740",58.4017996642382,-1.28628826083416,0.300855247029785,-4.27543901438693,1.90761015920482e-05,0.000370464725074602,"ATATH2"
"AT5G18270",333.465291524205,-1.28985917768319,0.15884183013518,-8.12039987568431,4.64650169177638e-16,5.6318333740619e-14,"ANAC087"
"AT4G25810",114.441244819603,-1.29051908372876,0.22269548172672,-5.79499446384107,6.83234348771379e-09,3.54610673965598e-07,"XTR6"
"AT3G09390",303.787728646052,-1.29125694340226,0.152862282423025,-8.4471913079833,2.98394542520646e-17,4.21124626619035e-15,"MT2A"
"AT2G42660",112.24220265177,-1.29944668025396,0.22203615163205,-5.85241038768929,4.84499310611108e-09,2.62023839767504e-07,""
"AT1G31280",448.020880199888,-1.30569255332699,0.126184415226445,-10.3474945854752,4.2958028614193e-25,8.59369106403346e-23,"AGO2"
"AT5G17760",180.700190515739,-1.31083090538192,0.186296890931429,-7.03624681457731,1.97486995173919e-12,1.80854201580382e-10,""
"AT5G67400",337.683452871306,-1.3198337861018,0.187779538311822,-7.0286347382009,2.08564162587450e-12,1.88485288162913e-10,"RHS19"
"AT5G26170",88.6972971033649,-1.32013517294633,0.241331649102693,-5.47021154438216,4.49498733330984e-08,1.91362012402581e-06,"WRKY50"
"AT2G28570",58.6859393230541,-1.32221830047119,0.34059080155444,-3.88213156208756,0.000103544828469091,0.00156303383927152,""
"AT1G32860",663.859011148809,-1.32439247157545,0.11214379209804,-11.8097707131004,3.47507648254629e-32,8.95049386535829e-30,""
"AT4G19130",252.688607164539,-1.32535955214899,0.161743555075609,-8.19420317260511,2.52258657975398e-16,3.15017554398974e-14,""
"AT1G63440",177.121924330244,-1.34477106540906,0.190640652824859,-7.05395751369195,1.73899496100264e-12,1.60681574759907e-10,"HMA5"
"AT4G39830",109.613699697078,-1.36849984382427,0.215237224187228,-6.3581002263524,2.04264184190617e-10,1.42191334974583e-08,""
"AT5G53550",904.470627463792,-1.38189427582908,0.10503153684179,-13.1569461647567,1.55234322997506e-39,4.84636852327821e-37,"YSL3"
"AT1G59660",490.059558857023,-1.38261784091773,0.127016163264399,-10.8853692741423,1.3534894612686e-27,2.99877960746661e-25,""
"AT3G16220",53.2531359071239,-1.38272531623405,0.31377260620863,-4.40677512591607,1.04921015265623e-05,0.000220601787708996,""
"AT2G34650",116.10577035747,-1.38467811773512,0.259174521714203,-5.34264752791568,9.15987677876061e-08,3.55441169541172e-06,"PID"
"AT5G45350",498.427243819874,-1.39445715155579,0.123971798454208,-11.2481803841126,2.36419033629251e-29,5.59932665279393e-27,""
"AT1G01470",381.510729947021,-1.39653785716745,0.170052582743865,-8.21238839559955,2.16831566485441e-16,2.77504001703882e-14,"LEA14"
"AT4G22780",50.3453641616585,-1.41277124178771,0.326858543149857,-4.32227112124153,1.54431252932767e-05,0.000309237703273048,"ACR7"
"AT1G02670",95.3086012346441,-1.42271257918703,0.240148323075509,-5.92430778181901,3.1361559915657e-09,1.77042449880031e-07,""
"AT1G53440",69.0954036123694,-1.42480965557667,0.286538394590513,-4.97249123494547,6.60979605541476e-07,2.02069507005669e-05,""
"AT1G51130",262.419240899919,-1.42682881259839,0.161664210532367,-8.82587932047409,1.08603087666267e-18,1.69527774345715e-16,""
"AT2G39660",188.888039945404,-1.4293609864275,0.166969791857328,-8.56059632420731,1.1228521112398e-17,1.65259769657829e-15,"BIK1"
"AT3G52115",257.102721813849,-1.43146610576664,0.166555567843441,-8.59452568473838,8.36094267510136e-18,1.24838567985843e-15,"ATGR1"
"AT5G02220",102.935138679352,-1.43711109781112,0.248345178850691,-5.78674852663493,7.17618847531521e-09,3.69076192795605e-07,""
